ts_iso,dir,can_id,dlc,data_hex
2025-08-10T15:59:57.938,RX,0x064,6,01 77 71 80 08 1A,1,30577,128,8,26,,,,smc6
2025-08-10T15:59:58.040,RX,0x064,6,01 77 71 80 07 F0,1,30577,128,7,240,,,,smc6
2025-08-10T15:59:58.142,RX,0x064,6,01 77 71 80 07 DA,1,30577,128,7,218,,,,smc6
2025-08-10T15:59:58.242,RX,0x064,6,01 77 71 80 08 01,1,30577,128,8,1,,,,smc6
2025-08-10T15:59:58.349,RX,0x064,6,01 77 71 80 07 C0,1,30577,128,7,192,,,,smc6
2025-08-10T15:59:58.449,RX,0x064,6,01 77 71 80 08 34,1,30577,128,8,52,,,,smc6
2025-08-10T15:59:58.550,RX,0x064,6,01 77 71 80 07 C7,1,30577,128,7,199,,,,smc6
2025-08-10T15:59:58.651,RX,0x064,6,01 77 71 80 08 2D,1,30577,128,8,45,,,,smc6
2025-08-10T15:59:58.754,RX,0x064,6,01 77 71 80 07 ED,1,30577,128,7,237,,,,smc6
2025-08-10T15:59:58.860,RX,0x064,6,01 77 71 80 07 CA,1,30577,128,7,202,,,,smc6
2025-08-10T15:59:58.960,RX,0x064,6,01 77 71 80 07 C1,1,30577,128,7,193,,,,smc6
2025-08-10T15:59:59.062,RX,0x064,6,01 77 71 80 08 05,1,30577,128,8,5,,,,smc6
2025-08-10T15:59:59.162,RX,0x064,6,01 77 71 80 07 E9,1,30577,128,7,233,,,,smc6
2025-08-10T15:59:59.268,RX,0x064,6,01 77 71 80 08 2D,1,30577,128,8,45,,,,smc6
2025-08-10T15:59:59.376,RX,0x064,6,01 77 71 80 07 DD,1,30577,128,7,221,,,,smc6
2025-08-10T15:59:59.478,RX,0x064,6,01 77 71 80 07 E6,1,30577,128,7,230,,,,smc6
2025-08-10T15:59:59.577,RX,0x064,6,01 77 71 80 08 25,1,30577,128,8,37,,,,smc6
2025-08-10T15:59:59.679,RX,0x064,6,01 77 71 80 07 DA,1,30577,128,7,218,,,,smc6
2025-08-10T15:59:59.780,RX,0x064,6,01 77 71 80 08 2C,1,30577,128,8,44,,,,smc6
2025-08-10T15:59:59.882,RX,0x064,6,01 77 71 80 07 FC,1,30577,128,7,252,,,,smc6
2025-08-10T15:59:59.983,RX,0x064,6,01 77 71 80 07 F6,1,30577,128,7,246,,,,smc6
2025-08-10T16:00:00.089,RX,0x064,6,01 77 71 80 08 1A,1,30577,128,8,26,,,,smc6
2025-08-10T16:00:00.186,RX,0x064,6,01 77 71 80 07 D6,1,30577,128,7,214,,,,smc6
2025-08-10T16:00:00.287,RX,0x064,6,01 77 71 80 07 D0,1,30577,128,7,208,,,,smc6
2025-08-10T16:00:00.388,RX,0x064,6,01 77 71 80 08 47,1,30577,128,8,71,,,,smc6
2025-08-10T16:00:00.488,RX,0x064,6,01 77 71 80 07 CB,1,30577,128,7,203,,,,smc6
2025-08-10T16:00:00.589,RX,0x064,6,01 77 71 80 07 F3,1,30577,128,7,243,,,,smc6
2025-08-10T16:00:00.692,RX,0x064,6,01 77 71 80 07 CB,1,30577,128,7,203,,,,smc6
2025-08-10T16:00:00.793,RX,0x064,6,01 77 71 80 08 14,1,30577,128,8,20,,,,smc6
2025-08-10T16:00:00.895,RX,0x064,6,01 77 71 80 08 1D,1,30577,128,8,29,,,,smc6
2025-08-10T16:00:00.994,RX,0x064,6,01 77 71 80 08 46,1,30577,128,8,70,,,,smc6
2025-08-10T16:00:01.096,RX,0x064,6,01 77 71 80 08 20,1,30577,128,8,32,,,,smc6
2025-08-10T16:00:01.198,RX,0x064,6,01 77 71 80 07 C8,1,30577,128,7,200,,,,smc6
2025-08-10T16:00:01.310,RX,0x064,6,01 77 71 80 08 33,1,30577,128,8,51,,,,smc6
2025-08-10T16:00:01.407,RX,0x064,6,01 77 71 80 07 FD,1,30577,128,7,253,,,,smc6
2025-08-10T16:00:01.507,RX,0x064,6,01 77 71 80 07 FB,1,30577,128,7,251,,,,smc6
2025-08-10T16:00:01.615,RX,0x064,6,01 77 71 80 08 2B,1,30577,128,8,43,,,,smc6
2025-08-10T16:00:01.708,RX,0x064,6,01 77 71 80 08 09,1,30577,128,8,9,,,,smc6
2025-08-10T16:00:01.809,RX,0x064,6,01 77 71 80 07 D4,1,30577,128,7,212,,,,smc6
2025-08-10T16:00:01.909,RX,0x064,6,01 77 71 80 07 FF,1,30577,128,7,255,,,,smc6
2025-08-10T16:00:02.010,RX,0x064,6,01 77 71 80 07 E8,1,30577,128,7,232,,,,smc6
2025-08-10T16:00:02.111,RX,0x064,6,01 77 71 80 07 D4,1,30577,128,7,212,,,,smc6
2025-08-10T16:00:02.211,RX,0x064,6,01 77 71 80 08 32,1,30577,128,8,50,,,,smc6
2025-08-10T16:00:02.319,RX,0x064,6,01 77 71 80 07 FA,1,30577,128,7,250,,,,smc6
2025-08-10T16:00:02.426,RX,0x064,6,01 77 71 80 07 D1,1,30577,128,7,209,,,,smc6
2025-08-10T16:00:02.526,RX,0x064,6,01 77 71 80 08 3D,1,30577,128,8,61,,,,smc6
2025-08-10T16:00:02.628,RX,0x064,6,01 77 71 80 07 E4,1,30577,128,7,228,,,,smc6
2025-08-10T16:00:02.730,RX,0x064,6,01 77 71 80 07 CF,1,30577,128,7,207,,,,smc6
