ts_ms,raw_hex,driver_id,pos_rad,vel_rad_s,tau_Nm,pos_raw_i16,vel_raw_s12,tau_raw_s12
1754831879546,01 7F 5F 80 08 5A,1,12.438963,-65.031754,-17.217391,32607,-2048,-1958
1754831879560,01 7F 5F 80 08 5A,1,12.438963,-65.031754,-17.217391,32607,-2048,-1958
1754831879572,01 7F 5F 80 08 5A,1,12.438963,-65.031754,-17.217391,32607,-2048,-1958
1754831879582,01 7F 5F 80 08 5A,1,12.438963,-65.031754,-17.217391,32607,-2048,-1958
1754831879594,01 7F 5F 80 08 5A,1,12.438963,-65.031754,-17.217391,32607,-2048,-1958
1754831879608,01 7F 5F 80 08 5A,1,12.438963,-65.031754,-17.217391,32607,-2048,-1958
1754831879620,01 7F 5F 80 08 5A,1,12.438963,-65.031754,-17.217391,32607,-2048,-1958
1754831879632,01 7F 5F 80 08 25,1,12.438963,-65.031754,-17.683439,32607,-2048,-2011
1754831879645,01 7F 5F 80 08 25,1,12.438963,-65.031754,-17.683439,32607,-2048,-2011
1754831879657,01 7F 5F 80 08 25,1,12.438963,-65.031754,-17.683439,32607,-2048,-2011
1754831879669,01 7F 5F 80 08 25,1,12.438963,-65.031754,-17.683439,32607,-2048,-2011
1754831879682,01 7F 5F 80 08 25,1,12.438963,-65.031754,-17.683439,32607,-2048,-2011
1754831879694,01 7F 5F 80 08 25,1,12.438963,-65.031754,-17.683439,32607,-2048,-2011
1754831879710,01 7F 5F 80 08 25,1,12.438963,-65.031754,-17.683439,32607,-2048,-2011
1754831879721,01 7F 5F 80 08 25,1,12.438963,-65.031754,-17.683439,32607,-2048,-2011
1754831879733,01 7F 5F 80 07 EE,1,12.438963,-65.031754,17.850513,32607,-2048,2030
1754831879745,01 7F 5F 80 07 EE,1,12.438963,-65.031754,17.850513,32607,-2048,2030
1754831879757,01 7F 5F 80 07 EE,1,12.438963,-65.031754,17.850513,32607,-2048,2030
1754831879769,01 7F 5F 80 07 EE,1,12.438963,-65.031754,17.850513,32607,-2048,2030
1754831879781,01 7F 5F 80 07 EE,1,12.438963,-65.031754,17.850513,32607,-2048,2030
1754831879794,01 7F 5F 80 07 EE,1,12.438963,-65.031754,17.850513,32607,-2048,2030
1754831879805,01 7F 5F 80 07 EE,1,12.438963,-65.031754,17.850513,32607,-2048,2030
1754831879816,01 7F 5F 80 07 EE,1,12.438963,-65.031754,17.850513,32607,-2048,2030
1754831879828,01 7F 5F 80 07 F0,1,12.438963,-65.031754,17.868100,32607,-2048,2032
1754831879841,01 7F 5F 80 07 F0,1,12.438963,-65.031754,17.868100,32607,-2048,2032
1754831879853,01 7F 5F 80 07 F0,1,12.438963,-65.031754,17.868100,32607,-2048,2032
1754831879866,01 7F 5F 80 07 F0,1,12.438963,-65.031754,17.868100,32607,-2048,2032
1754831879879,01 7F 5F 80 07 F0,1,12.438963,-65.031754,17.868100,32607,-2048,2032
1754831879892,01 7F 5F 80 07 F0,1,12.438963,-65.031754,17.868100,32607,-2048,2032
1754831879904,01 7F 5F 80 07 F0,1,12.438963,-65.031754,17.868100,32607,-2048,2032
1754831879916,01 7F 5F 80 07 F0,1,12.438963,-65.031754,17.868100,32607,-2048,2032
1754831879928,01 7F 5F 80 08 23,1,12.438963,-65.031754,-17.701026,32607,-2048,-2013
1754831879940,01 7F 5F 80 08 23,1,12.438963,-65.031754,-17.701026,32607,-2048,-2013
1754831879952,01 7F 5F 80 08 23,1,12.438963,-65.031754,-17.701026,32607,-2048,-2013
1754831879965,01 7F 5F 80 08 23,1,12.438963,-65.031754,-17.701026,32607,-2048,-2013
1754831879981,01 7F 5F 80 08 23,1,12.438963,-65.031754,-17.701026,32607,-2048,-2013
1754831879993,01 7F 5F 80 08 23,1,12.438963,-65.031754,-17.701026,32607,-2048,-2013
1754831880009,01 7F 5F 80 08 23,1,12.438963,-65.031754,-17.701026,32607,-2048,-2013
1754831880020,01 7F 5F 80 08 23,1,12.438963,-65.031754,-17.701026,32607,-2048,-2013
1754831880033,01 7F 5F 80 08 26,1,12.438963,-65.031754,-17.674646,32607,-2048,-2010
1754831880049,01 7F 5F 80 08 26,1,12.438963,-65.031754,-17.674646,32607,-2048,-2010
1754831880061,01 7F 5F 80 08 26,1,12.438963,-65.031754,-17.674646,32607,-2048,-2010
1754831880074,01 7F 5F 80 08 26,1,12.438963,-65.031754,-17.674646,32607,-2048,-2010
1754831880087,01 7F 5F 80 08 26,1,12.438963,-65.031754,-17.674646,32607,-2048,-2010
1754831880100,01 7F 5F 80 08 26,1,12.438963,-65.031754,-17.674646,32607,-2048,-2010
1754831880111,01 7F 5F 80 08 26,1,12.438963,-65.031754,-17.674646,32607,-2048,-2010
1754831880124,01 7F 5F 80 08 3B,1,12.438963,-65.031754,-17.489985,32607,-2048,-1989
1754831880136,01 7F 5F 80 08 3B,1,12.438963,-65.031754,-17.489985,32607,-2048,-1989
1754831880148,01 7F 5F 80 08 3B,1,12.438963,-65.031754,-17.489985,32607,-2048,-1989
